Genome,Phylum,Paper,Loaded,Complete,Chrs,Plasmids,Genes
Salmonella enterica subsp. enterica serovar Kentucky str. CDC 191,Proteobacteria,,24-03-08,no,,,4748
Salmonella enterica subsp. enterica serovar Kentucky str. CVM29188,Proteobacteria,,25-11-09,no,,,6041
Salmonella enterica subsp. enterica serovar Newport str. SL254,Proteobacteria,yes,25-11-09,yes,1,2,5116
Salmonella enterica subsp. enterica serovar Newport str. SL317,Proteobacteria,,24-03-08,no,,,5116
Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601,Proteobacteria,,21-04-09,yes,1,0,4413
Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150,Proteobacteria,yes,25-08-05,yes,1,0,4393
Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7,Proteobacteria,,24-03-08,yes,1,0,5771
Salmonella enterica subsp. enterica serovar Paratyphi C strain RKS4594,Proteobacteria,yes,21-04-09,yes,1,1,4895
Salmonella enterica subsp. enterica serovar Saintpaul str. SARA23,Proteobacteria,,24-03-08,no,,,5457
Salmonella enterica subsp. enterica serovar Saintpaul str. SARA29,Proteobacteria,,21-04-09,no,,,5112
Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633,Proteobacteria,,25-11-09,yes,1,2,4936
Salmonella enterica subsp. enterica serovar Schwarzengrund str. SL480,Proteobacteria,,24-03-08,no,,,4889
Salmonella enterica subsp. enterica serovar Tennessee str. CDC07-0191,Proteobacteria,,21-04-09,no,,,
Salmonella enterica subsp. enterica serovar Typhi str. 404ty,Proteobacteria,yes,21-04-09,no,,,8691
Salmonella enterica subsp. enterica serovar Typhi str. AG3,Proteobacteria,,21-04-09,no,,,9598
Salmonella enterica subsp. enterica serovar Typhi str. CT18,Proteobacteria,yes,25-11-09,yes,1,2,5086
Salmonella enterica subsp. enterica serovar Typhi str. E00-7866,Proteobacteria,,21-04-09,no,,,5336
Salmonella enterica subsp. enterica serovar Typhi str. E01-6750,Proteobacteria,,21-04-09,no,,,7453
Salmonella enterica subsp. enterica serovar Typhi str. E02-1180,Proteobacteria,,21-04-09,no,,,4564
Salmonella enterica subsp. enterica serovar Typhi str. E98-0664,Proteobacteria,,21-04-09,no,,,7366
Salmonella enterica subsp. enterica serovar Typhi str. E98-2068,Proteobacteria,,21-04-09,no,,,7124
Salmonella enterica subsp. enterica serovar Typhi str. E98-3139,Proteobacteria,,21-04-09,no,,,4372
Salmonella enterica subsp. enterica serovar Typhi str. J185,Proteobacteria,,21-04-09,no,,,5107
Salmonella enterica subsp. enterica serovar Typhi str. M223,Proteobacteria,,21-04-09,no,,,6808
Salmonella enterica subsp. enterica serovar Typhi Ty2,Proteobacteria,yes,,yes,1,0,4645
Salmonella enterica subsp. enterica serovar Virchow str. SL491,Proteobacteria,,25-11-09,no,,,5611
Salmonella enterica subsp. enterica serovar Weltevreden str. HI_N05-537,Proteobacteria,,24-03-08,no,,,5199
Salmonella typhimurium LT2,Proteobacteria,yes,,yes,1,1,4726
Sanguibacter keddieii DSM 10542,Actinobacteria,,24-05-10,yes,1,0,3800
Sebaldella termitidis ATCC 33386,Fusobacteria,,24-05-10,yes,1,2,4266
Selenomonas sputigena ATCC 35185,Firmicutes,,16-11-10,no,,,2512
Serratia proteamaculans 568,Proteobacteria,,24-03-08,yes,1,1,5064
Shewanella amazonensis SB2B,Proteobacteria,,25-11-09,yes,1,0,3785
Shewanella baltica OS155,Proteobacteria,,25-11-09,yes,1,4,4721
Shewanella baltica OS185,Proteobacteria,,24-03-08,yes,1,1,4596
Shewanella baltica OS195,Proteobacteria,,25-11-09,yes,1,3,4859
Shewanella baltica OS223,Proteobacteria,,25-11-09,yes,1,3,4649
Shewanella benthica KT99,Proteobacteria,,24-03-08,no,,,4362
Shewanella denitrificans OS217,Proteobacteria,,25-11-09,yes,1,0,3905
Shewanella frigidimarina NCIMB 400,Proteobacteria,,25-11-09,yes,1,0,4199
Shewanella halifaxensis HAW-EB4,Proteobacteria,,24-03-08,yes,1,0,4464
Shewanella loihica PV-4,Proteobacteria,,27-01-09,yes,1,0,3994
Shewanella oneidensis MR-1,Proteobacteria,yes,,yes,1,1,4741
Shewanella pealeana ATCC 700345,Proteobacteria,,25-11-09,yes,1,0,4438
Shewanella piezotolerans WP3,Proteobacteria,yes,21-04-09,yes,1,0,5047
Shewanella putrefaciens 200,Proteobacteria,,08-05-07,no,,,4210
Shewanella putrefaciens CN-32,Proteobacteria,,24-03-08,yes,1,0,4134
Shewanella sediminis HAW-EB3,Proteobacteria,,24-03-08,yes,1,0,4666
Shewanella sp ANA-3,Proteobacteria,,25-11-09,yes,1,1,4519
Shewanella sp MR-4,Proteobacteria,,25-11-09,yes,1,0,4084
Shewanella sp MR-7,Proteobacteria,,25-11-09,yes,1,1,4186
Shewanella sp W3-18-1,Proteobacteria,,25-11-09,yes,1,0,4217
Shewanella violacea DSS12,Proteobacteria,,24-05-10,yes,1,0,4515
Shewanella woodyi ATCC 51908,Proteobacteria,,25-11-09,yes,1,0,5096
Shigella boydii BS512,Proteobacteria,,25-11-09,yes,1,5,5336
Shigella boydii Sb227,Proteobacteria,yes,18-01-06,yes,1,1,4614
Shigella dysenteriae 1012,Proteobacteria,,08-05-07,no,,,2782
Shigella dysenteriae Sd197,Proteobacteria,yes,24-03-08,yes,1,2,4893
Shigella flexneri 2a str. 2457T,Proteobacteria,yes,,yes,1,0,4571
Shigella flexneri 2a str. 301,Proteobacteria,yes,08-05-07,yes,1,1,4830
Shigella flexneri 5 str. 8401,Proteobacteria,,22-11-06,yes,1,0,4433
Shigella sonnei Ss046,Proteobacteria,yes,24-03-08,yes,1,4,4805
Shigella sp. D9,Proteobacteria,,21-04-09,no,,,
Sideroxydans lithotrophicus ES-1,Proteobacteria,,24-05-10,yes,1,0,3050
Silicibacter pomeroyi DSS-3,Proteobacteria,yes,25-08-05,yes,1,1,4348
Silicibacter TM1040,Proteobacteria,,24-03-08,yes,1,2,3956
Sinorhizobium medicae WSM419,Proteobacteria,,25-11-09,yes,1,3,6587
Sinorhizobium meliloti 1021,Proteobacteria,yes,25-11-09,yes,1,2,6292
Slackia heliotrinireducens DSM 20476,Actinobacteria,,25-11-09,yes,1,0,2854
Sodalis glossinidius str. 'morsitans',Proteobacteria,yes,12-04-06,yes,1,3,2607
Solibacter usitatus Ellin6076,Acidobacteria,,22-11-06,yes,1,0,8002
Sorangium cellulosum 'So ce 56',Proteobacteria,,24-03-08,yes,1,0,9703
Sphaerobacter thermophilus DSM 20745,Chloroflexi,,24-05-10,yes,2,0,3585
Sphingobacterium spiritivorum ATCC 33300,Bacteroidetes,,21-04-09,no,,,
Sphingobacterium spiritivorum ATCC 33861,Bacteroidetes,,21-04-09,no,,,
Sphingobium japonicum UT26S,Proteobacteria,,24-05-10,yes,2,3,4461
Sphingomonas sp. SKA58,Proteobacteria,,08-05-07,no,,,3984
Sphingomonas wittichii RW1,Proteobacteria,,25-11-09,yes,1,2,5455
Sphingopyxis alaskensis RB2256,Proteobacteria,,22-11-06,yes,1,1,3260
"Spirochaeta africana Z-7692, DSM 8902",Spirochaetes,,16-11-10,no,,,2922
"Spirochaeta caldaria H1, DSM 7334",Spirochaetes,,16-11-10,no,,,2880
"Spirochaeta coccoides SPN1, DSM 17374",Spirochaetes,,16-11-10,no,,,1931
Spirochaeta thermophila DSM 6578,Spirochaetes,,16-11-10,no,,,2400
Spirosoma linguale DSM 74,Bacteroidetes,,24-05-10,yes,1,8,7130
Stackebrandtia nassauensis DSM 44728,Actinobacteria,,24-05-10,yes,1,0,6542
Staphylococcus aureus RF122,Firmicutes,,18-01-06,yes,1,0,2663
Staphylococcus aureus subsp. aureus 70,Firmicutes,,21-04-09,no,,,
Staphylococcus aureus subsp. aureus COL,Firmicutes,yes,08-05-07,yes,1,1,2726
Staphylococcus aureus subsp. aureus ED98,Firmicutes,,24-05-10,yes,1,3,2781
Staphylococcus aureus subsp. aureus JH1,Firmicutes,,25-11-09,yes,1,1,2906
Staphylococcus aureus subsp. aureus JH9,Firmicutes,,25-11-09,yes,1,1,2845
Staphylococcus aureus subsp. aureus MRSA252,Firmicutes,yes,19-10-04,yes,1,0,2845
Staphylococcus aureus subsp. aureus MSSA476,Firmicutes,yes,08-05-07,yes,1,1,2747
Staphylococcus aureus subsp. aureus Mu3,Firmicutes,yes,24-03-08,yes,1,0,2776
Staphylococcus aureus subsp. aureus Mu50,Firmicutes,yes,08-05-07,yes,1,1,2809
Staphylococcus aureus subsp. aureus Mu50-omega,Firmicutes,,21-04-09,no,,,
Staphylococcus aureus subsp. aureus MW2,Firmicutes,yes,,yes,1,0,2712
Staphylococcus aureus subsp. aureus N315,Firmicutes,yes,08-05-07,yes,1,1,2700
Staphylococcus aureus subsp. aureus NCTC 8325,Firmicutes,,12-04-06,yes,1,0,2969
Staphylococcus aureus subsp. aureus str. CF-Marseille,Firmicutes,,21-04-09,no,,,
Staphylococcus aureus subsp. aureus str. JKD6008,Firmicutes,,21-04-09,no,,,2679
Staphylococcus aureus subsp. aureus str. JKD6009,Firmicutes,,21-04-09,no,,,2700
Staphylococcus aureus subsp. aureus str. Newman,Firmicutes,,24-03-08,yes,1,0,2687
Staphylococcus aureus subsp. aureus USA300_FPR3757,Firmicutes,yes,25-11-09,yes,1,3,2692
Staphylococcus aureus subsp. aureus USA300_TCH1516,Firmicutes,yes,25-11-09,yes,1,2,2844
Staphylococcus capitis SK14,Firmicutes,,21-04-09,no,,,2407
Staphylococcus carnosus subsp. carnosus TM300,Firmicutes,yes,21-04-09,yes,1,0,2538
Staphylococcus epidermidis ATCC 12228,Firmicutes,yes,08-05-07,yes,1,6,2561
Staphylococcus epidermidis RP62A,Firmicutes,yes,25-08-05,yes,1,1,2668
Staphylococcus haemolyticus JCSC1435,Firmicutes,,08-05-07,yes,1,3,2769
Staphylococcus lugdunensis HKU09-01,Firmicutes,yes,24-05-10,yes,1,0,2570
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305,Firmicutes,yes,25-11-09,yes,1,2,2595
Stappia aggregata IAM 12614,Proteobacteria,,08-05-07,no,,,6378
Stenotrophomonas maltophilia K279a,Proteobacteria,yes,21-04-09,yes,1,0,4528
Stenotrophomonas maltophilia R551-3,Proteobacteria,,25-11-09,yes,1,0,4134
Stenotrophomonas sp. SKA14,Proteobacteria,,21-04-09,no,,,
Stigmatella aurantiaca DW4/3-1,Proteobacteria,,08-05-07,no,,,8586
Streptobacillus moniliformis DSM 12112,Fusobacteria,,24-05-10,yes,1,1,1568
Streptococcus agalactiae 18RS21,Firmicutes,yes,08-05-07,no,,,2421
Streptococcus agalactiae 2603V/R,Firmicutes,yes,,yes,1,0,2273
Streptococcus agalactiae 515,Firmicutes,yes,08-05-07,no,,,2287
Streptococcus agalactiae A909,Firmicutes,yes,18-01-06,yes,1,0,2136
Streptococcus agalactiae CJB111,Firmicutes,yes,08-05-07,no,,,2208
Streptococcus agalactiae COH1,Firmicutes,yes,08-05-07,no,,,2412
Streptococcus agalactiae H36B,Firmicutes,yes,08-05-07,no,,,2396
Streptococcus agalactiae NEM316,Firmicutes,yes,,yes,1,0,2235
Streptococcus dysgalactiae subsp. equisimilis GGS_124,Firmicutes,,25-11-09,yes,1,0,2174
Streptococcus equi subsp. equi 4047,Firmicutes,,25-11-09,yes,1,0,2242
Streptococcus equi subsp. zooepidemicus,Firmicutes,,25-11-09,yes,1,0,2056
Streptococcus equi subsp. zooepidemicus MGCS10565,Firmicutes,yes,21-04-09,yes,1,0,2001
Streptococcus gallolyticus UCN34,Firmicutes,,24-05-10,yes,1,0,2349
Streptococcus gordonii str. Challis substr. CH1,Firmicutes,yes,24-03-08,yes,1,0,2150
Streptococcus infantarius subsp. infantarius ATCC BAA-102,Firmicutes,,24-03-08,no,,,
Streptococcus mitis B6,Firmicutes,,24-05-10,yes,1,0,2107
Streptococcus mutans NN2025,Firmicutes,yes,24-05-10,yes,1,0,1976
Streptococcus mutans UA159,Firmicutes,yes,,yes,1,0,2042
Streptococcus pneumoniae 70585,Firmicutes,,25-11-09,yes,1,0,2323
Streptococcus pneumoniae ATCC 700669,Firmicutes,,21-04-09,yes,1,0,2224
Streptococcus pneumoniae CCRI 1974,Firmicutes,,21-04-09,no,,,
Streptococcus pneumoniae CCRI 1974M2,Firmicutes,,21-04-09,no,,,
Streptococcus pneumoniae CDC0288-04,Firmicutes,,24-03-08,no,,,2177
Streptococcus pneumoniae CDC1087-00,Firmicutes,,24-03-08,no,,,2311
Streptococcus pneumoniae CDC1873-00,Firmicutes,,24-03-08,no,,,2467
Streptococcus pneumoniae CDC3059-06,Firmicutes,,24-03-08,no,,,2454
Streptococcus pneumoniae CGSP14,Firmicutes,,21-04-09,yes,1,0,2276
Streptococcus pneumoniae D39,Firmicutes,,08-05-07,yes,1,1,2072
Streptococcus pneumoniae G54,Firmicutes,yes,21-04-09,yes,1,0,2186
Streptococcus pneumoniae Hungary19A-6,Firmicutes,,21-04-09,yes,1,0,2402
Streptococcus pneumoniae JJA,Firmicutes,,25-11-09,yes,1,0,2235
Streptococcus pneumoniae MLV-016,Firmicutes,,24-03-08,no,,,2372
Streptococcus pneumoniae P1031,Firmicutes,,25-11-09,yes,1,0,2254
Streptococcus pneumoniae R6,Firmicutes,yes,,yes,1,0,2116
Streptococcus pneumoniae SP11-BS70,Firmicutes,,24-03-08,no,,,2405
Streptococcus pneumoniae SP14-BS69,Firmicutes,,24-03-08,no,,,2846
Streptococcus pneumoniae SP18-BS74,Firmicutes,,24-03-08,no,,,2453
Streptococcus pneumoniae SP19-BS75,Firmicutes,,24-03-08,no,,,2520
Streptococcus pneumoniae SP195,Firmicutes,,24-03-08,no,,,2367
Streptococcus pneumoniae SP23-BS72,Firmicutes,,24-03-08,no,,,2451
Streptococcus pneumoniae SP3-BS71,Firmicutes,,24-03-08,no,,,2421
Streptococcus pneumoniae SP6-BS73,Firmicutes,,24-03-08,no,,,2555
Streptococcus pneumoniae SP9-BS68,Firmicutes,,24-03-08,no,,,2484
Streptococcus pneumoniae Taiwan19F-14,Firmicutes,,25-11-09,yes,1,0,2205
Streptococcus pneumoniae TIGR4,Firmicutes,yes,21-04-09,yes,1,0,2302
Streptococcus pyogenes M1 GAS,Firmicutes,yes,,yes,1,0,1811
Streptococcus pyogenes M49 591,Firmicutes,,08-05-07,no,,,1365
Streptococcus pyogenes MGAS10270,Firmicutes,,22-11-06,yes,1,0,2067
Streptococcus pyogenes MGAS10394,Firmicutes,yes,19-10-04,yes,1,0,1971
Streptococcus pyogenes MGAS10750,Firmicutes,,22-11-06,yes,1,0,2060
Streptococcus pyogenes MGAS2096,Firmicutes,,22-11-06,yes,1,0,1979
Streptococcus pyogenes MGAS315,Firmicutes,yes,,yes,1,0,1951
Streptococcus pyogenes MGAS5005,Firmicutes,yes,25-08-05,yes,1,0,1950
Streptococcus pyogenes MGAS6180,Firmicutes,yes,25-08-05,yes,1,0,1977
Streptococcus pyogenes MGAS8232,Firmicutes,yes,,yes,1,0,1924
Streptococcus pyogenes MGAS9429,Firmicutes,,22-11-06,yes,1,0,1962
Streptococcus pyogenes NZ131,Firmicutes,yes,21-04-09,yes,1,0,1791
Streptococcus pyogenes SSI-1,Firmicutes,yes,,yes,1,0,1933
Streptococcus pyogenes str. Manfredo,Firmicutes,yes,24-03-08,yes,1,0,1907
Streptococcus sanguinis SK36,Firmicutes,yes,08-05-07,yes,1,0,2348
Streptococcus suis 05ZYH33,Firmicutes,yes,24-03-08,yes,1,0,2254
Streptococcus suis 98HAH33,Firmicutes,yes,24-03-08,yes,1,0,2253
Streptococcus suis BM407,Firmicutes,yes,25-11-09,yes,1,1,2136
Streptococcus suis P1/7,Firmicutes,yes,25-11-09,yes,1,0,2020
Streptococcus suis SC84,Firmicutes,yes,25-11-09,yes,1,0,2068
Streptococcus thermophilus CNRZ1066,Firmicutes,yes,25-08-05,yes,1,0,2000
Streptococcus thermophilus LMD-9,Firmicutes,,22-11-06,yes,1,2,2009
Streptococcus thermophilus LMG 18311,Firmicutes,yes,25-08-05,yes,1,0,1974
Streptococcus uberis 0140J,Firmicutes,,21-04-09,yes,1,0,1908
Streptomyces avermitilis MA-4680,Actinobacteria,yes,24-03-08,yes,1,1,7765
Streptomyces clavuligerus ATCC 27064,Actinobacteria,yes,25-11-09,no,,,6
Streptomyces coelicolor A3(2),Actinobacteria,yes,08-05-07,yes,1,2,8300
Streptomyces ghanaensis ATCC 14672,Actinobacteria,,21-04-09,no,,,
Streptomyces griseoflavus Tu4000,Actinobacteria,,21-04-09,no,,,
Streptomyces griseus subsp. griseus NBRC 13350,Actinobacteria,yes,21-04-09,yes,1,0,7224
Streptomyces hygroscopicus ATCC 53653,Actinobacteria,,21-04-09,no,,,
Streptomyces lividans TK24,Actinobacteria,,21-04-09,no,,,
Streptomyces pristinaespiralis ATCC 25486,Actinobacteria,,24-03-08,no,,,
Streptomyces roseosporus NRRL 11379,Actinobacteria,,21-04-09,no,,,
Streptomyces roseosporus NRRL 15998,Actinobacteria,,21-04-09,no,,,
Streptomyces scabiei 87.22,Actinobacteria,,24-05-10,yes,1,0,8901
Streptomyces sp. AA4,Actinobacteria,,21-04-09,no,,,
Streptomyces sp. C,Actinobacteria,,21-04-09,no,,,
Streptomyces sp. Mg1,Actinobacteria,,24-03-08,no,,,
Streptomyces sp. SPB74,Actinobacteria,,24-03-08,no,,,
Streptomyces sp. SPB78,Actinobacteria,,21-04-09,no,,,
Streptomyces sviceus ATCC 29083,Actinobacteria,,24-03-08,no,,,
Streptomyces viridochromogenes DSM 40736,Actinobacteria,,21-04-09,no,,,
Streptosporangium roseum DSM 43021,Actinobacteria,,24-05-10,yes,1,1,9510
Subdoligranulum variabile DSM 15176,Firmicutes,,21-04-09,no,,,
Sulfitobacter sp. EE-36,Proteobacteria,,08-05-07,no,,,3529
Sulfitobacter sp. NAS-14.1,Proteobacteria,,08-05-07,no,,,4014
Sulfobacillus acidophilus DSM 10332,Firmicutes,,16-11-10,no,,,7634
"Sulfuricurvum kujiense YK-1, DSM 16994",Proteobacteria,,16-11-10,no,,,2879
Sulfurihydrogenibium azorense Az-Fu1,Aquificae,yes,25-11-09,yes,1,0,1768
Sulfurihydrogenibium sp. YO3AOP1,Aquificae,,21-04-09,yes,1,0,1829
"Sulfurimonas autotrophica OK10, DSM 16294",Proteobacteria,,16-11-10,no,,,2220
Sulfurospirillum deleyianum DSM 6946,Proteobacteria,,24-05-10,yes,1,0,2346
Sulfurovum sp. NBC37-1,Proteobacteria,yes,24-03-08,yes,1,0,2519
Symbiobacterium thermophilum IAM 14863,Firmicutes,yes,,yes,1,0,3455
Synechococcus elongatus PCC 6301,Cyanobacteria,,25-08-05,yes,1,0,2580
Synechococcus elongatus PCC 7942,Cyanobacteria,,18-01-06,yes,1,3,2781
Synechococcus sp. BL107,Cyanobacteria,,08-05-07,no,,,2553
Synechococcus sp. CC9311,Cyanobacteria,,11-09-06,yes,1,0,3073
Synechococcus sp. CC9605,Cyanobacteria,,18-01-06,yes,1,0,3118
Synechococcus sp. CC9902,Cyanobacteria,,18-01-06,yes,1,0,2559
Synechococcus sp. JA-2-3B'a(2-13),Cyanobacteria,yes,12-04-06,yes,1,0,2938
Synechococcus sp. JA-3-3Ab,Cyanobacteria,yes,17-04-06,yes,1,0,2893
Synechococcus sp. PCC 7002,Cyanobacteria,yes,21-04-09,yes,1,7,3241
Synechococcus sp. PCC 7335,Cyanobacteria,,21-04-09,no,,,
Synechococcus sp. RCC307,Cyanobacteria,,24-03-08,yes,1,0,2583
Synechococcus sp. RS9916,Cyanobacteria,,08-05-07,no,,,3009
Synechococcus sp. RS9917,Cyanobacteria,,08-05-07,no,,,2820
Synechococcus sp. WH 5701,Cyanobacteria,,08-05-07,no,,,3401
Synechococcus sp. WH 7803,Cyanobacteria,,24-03-08,yes,1,0,2586
Synechococcus sp. WH 7805,Cyanobacteria,,08-05-07,no,,,2934
Synechococcus sp. WH 8102,Cyanobacteria,,,yes,1,0,2849
Synechocystis sp. PCC 6803,Cyanobacteria,yes,08-05-07,yes,1,5,3630
Syntrophobacter fumaroxidans MPOB,Proteobacteria,,22-11-06,yes,1,0,4162
Syntrophobotulus glycolicus DSM 8271,Firmicutes,,16-11-10,no,,,3331
Syntrophomonas wolfei subsp. wolfei str. Goettingen,Firmicutes,,22-11-06,yes,1,0,2642
Syntrophus aciditrophicus SB,Proteobacteria,,22-11-06,yes,1,0,3219
Tenacibaculum sp. MED152,Bacteroidetes,,08-05-07,no,,,2720
Teredinibacter turnerae T7901,Proteobacteria,yes,25-11-09,yes,1,0,4310
Thauera sp. MZ1T,Proteobacteria,,25-11-09,yes,1,1,4145
Thermaerobacter marianensis DSM 12885,Firmicutes,,16-11-10,no,,,2443
"Thermaerobacter subterraneus C21, DSM 13965",Firmicutes,,16-11-10,no,,,2487
Thermanaerovibrio acidaminovorans DSM 6589,Synergistetes,,24-05-10,yes,1,0,1828
Thermoanaerobacter ethanolicus ATCC 33223,Firmicutes,,25-11-09,yes,1,0,2362
Thermoanaerobacter ethanolicus X514,Firmicutes,,25-11-09,yes,1,0,2475
Thermoanaerobacter italicus Ab9,Firmicutes,,24-05-10,yes,1,0,2479
Thermoanaerobacter tengcongensis MB4,Firmicutes,yes,25-11-09,yes,1,0,2720
Thermobaculum terrenum ATCC BAA-798,Unknown,,24-05-10,yes,2,0,2933
Thermobifida fusca YX,Actinobacteria,,25-08-05,yes,1,0,3184
Thermocrinis albus DSM 14484,Aquificae,,24-05-10,yes,1,0,1652
"Thermodesulfatator indicus CIR29812, DSM 15286",Thermodesulfobacteria,,16-11-10,no,,,2400
"Thermodesulfobium narugense Na82, DSM 14796",Firmicutes,,16-11-10,no,,,1891
Thermodesulfovibrio yellowstonii DSM 11347,Nitrospirae,,21-04-09,yes,1,0,2089
Thermomicrobium roseum DSM 5159,Chloroflexi,yes,21-04-09,yes,1,1,2904
Thermomonospora curvata DSM 43183,Actinobacteria,,24-05-10,yes,1,0,5061
Thermosinus carboxydivorans Nor1,Firmicutes,,08-05-07,no,,,2843
Thermosipho africanus TCF52B,Thermotogae,yes,21-04-09,yes,1,0,2041
Thermosipho melanesiensis BI429,Thermotogae,,25-11-09,yes,1,0,1992
Thermosynechococcus elongatus BP-1,Cyanobacteria,yes,,yes,1,0,2525
Thermotoga lettingae TMO,Thermotogae,,24-03-08,yes,1,0,2110
Thermotoga maritima MSB8,Thermotogae,yes,25-11-09,yes,1,0,1928
Thermotoga naphthophila RKU-10,Thermotogae,,24-05-10,yes,1,0,1867
Thermotoga neapolitana DSM 4359,Thermotogae,yes,21-04-09,yes,1,0,1988
Thermotoga petrophila RKU-1,Thermotogae,yes,24-03-08,yes,1,1,1865
Thermotoga sp. RQ2,Thermotogae,,25-11-09,yes,1,0,1905
"Thermotoga thermarum LA3, DSM 5069",Thermotogae,,16-11-10,no,,,2066
Thermotogales bacterium TBF 19.5.1,Thermotogae,,25-11-09,yes,1,0,2224
"Thermovirga lienii Cas60314, DSM 17291",Synergistetes,,16-11-10,no,,,1966
Thermus aquaticus Y51MC23,Deinococcus-Thermus,,21-04-09,no,,,2593
Thermus thermophilus HB27,Deinococcus-Thermus,yes,,yes,1,1,2263
Thermus thermophilus HB8,Deinococcus-Thermus,,25-08-05,yes,1,2,2291
Thioalkalivibrio sp. HL-EbGR7,Proteobacteria,,21-04-09,yes,1,0,3372
Thioalkalivibrio sp. K90mix,Proteobacteria,,24-05-10,yes,1,1,2943
Thiobacillus denitrificans,Proteobacteria,,24-03-08,yes,1,0,2879
Thiomicrospira crunogena XCL-2,Proteobacteria,,08-05-07,yes,1,0,2259
Thiomicrospira denitrificans ATCC 33889,Proteobacteria,,18-01-06,yes,1,0,2163
Thiothrix nivea DSM 5205,Proteobacteria,,16-11-10,no,,,4703
Tolumonas auensis DSM 9187,Proteobacteria,,25-11-09,yes,1,0,3292
"Treponema brennaborense DD5/3, DSM 12168",Spirochaetes,,16-11-10,no,,,2651
Treponema denticola ATCC 35405,Spirochaetes,,29-06-04,yes,1,0,2838
Treponema pallidum subsp. pallidum SS14,Spirochaetes,yes,21-04-09,yes,1,0,1088
Treponema pallidum subsp. pallidum str. Nichols,Spirochaetes,yes,25-11-09,yes,1,0,1095
"Treponema saccharophilum PB, DSM 2985",Spirochaetes,,16-11-10,no,,,2901
Treponema succinifaciens DSM 2489,Spirochaetes,,16-11-10,no,,,2828
Trichodesmium erythraeum IMS101,Cyanobacteria,,22-11-06,yes,1,0,5126
Tropheryma whipplei str. Twist,Actinobacteria,yes,,yes,1,0,862
Tropheryma whipplei TW08/27,Actinobacteria,yes,,yes,1,0,839
Ureaplasma parvum serovar 1,Tenericutes,,24-03-08,no,,,605
Ureaplasma parvum serovar 14,Tenericutes,,24-03-08,no,,,632
Ureaplasma parvum serovar 3,Tenericutes,,24-03-08,no,,,1249
Ureaplasma parvum serovar 3 str. ATCC 27815,Tenericutes,,21-04-09,yes,1,0,644
Ureaplasma parvum serovar 3 str. ATCC 700970,Tenericutes,yes,25-11-09,yes,1,0,653
Ureaplasma parvum serovar 6,Tenericutes,,24-03-08,no,,,657
Ureaplasma urealyticum serovar 10,Tenericutes,,24-03-08,no,,,1446
Ureaplasma urealyticum serovar 10 str. ATCC 33699,Tenericutes,,21-04-09,yes,1,0,693
Ureaplasma urealyticum serovar 11,Tenericutes,,24-03-08,no,,,698
Ureaplasma urealyticum serovar 12,Tenericutes,,24-03-08,no,,,693
Ureaplasma urealyticum serovar 13,Tenericutes,,24-03-08,no,,,688
Ureaplasma urealyticum serovar 2,Tenericutes,,24-03-08,no,,,701
Ureaplasma urealyticum serovar 4,Tenericutes,,24-03-08,no,,,1391
Ureaplasma urealyticum serovar 4 str. ATCC 27816,Tenericutes,,21-04-09,no,,,691
Ureaplasma urealyticum serovar 5,Tenericutes,,24-03-08,no,,,720
Ureaplasma urealyticum serovar 7,Tenericutes,,24-03-08,no,,,723
Ureaplasma urealyticum serovar 8,Tenericutes,,24-03-08,no,,,845
Ureaplasma urealyticum serovar 9,Tenericutes,,24-03-08,no,,,1583
Ureaplasma urealyticum serovar 9 str. ATCC 33175,Tenericutes,,21-04-09,no,,,746
Variovorax paradoxus S110,Proteobacteria,,25-11-09,yes,2,0,6453
Veillonella parvula DSM 2008,Firmicutes,,24-05-10,yes,1,0,1923
Verminephrobacter eiseniae EF01-2,Proteobacteria,,08-05-07,yes,1,1,5109
Verrucomicrobiae bacterium DG1235,Verrucomicrobia,,21-04-09,no,,,
Verrucomicrobium spinosum DSM 4136,Verrucomicrobia,,24-03-08,no,,,6576
Vibrio alginolyticus 12G01,Proteobacteria,,08-05-07,no,,,4821
Vibrio angustum S14,Proteobacteria,,08-05-07,no,,,4743
Vibrio campbellii AND4,Proteobacteria,,24-03-08,no,,,4033
Vibrio cholerae 1587,Proteobacteria,,08-05-07,no,,,3883
Vibrio cholerae 2740-80,Proteobacteria,,08-05-07,no,,,3845
Vibrio cholerae 623-39,Proteobacteria,,08-05-07,no,,,3870
Vibrio cholerae B33,Proteobacteria,,08-05-07,no,,,3885
Vibrio cholerae M66-2,Proteobacteria,yes,25-11-09,yes,2,0,3839
Vibrio cholerae MAK 757,Proteobacteria,,08-05-07,no,,,3585
Vibrio cholerae MJ-1236,Proteobacteria,,25-11-09,yes,2,0,3912
Vibrio cholerae MO10,Proteobacteria,,08-05-07,no,,,3441
Vibrio cholerae MZO-2,Proteobacteria,,08-05-07,no,,,3498
Vibrio cholerae MZO-3,Proteobacteria,,08-05-07,no,,,3972
Vibrio cholerae NCTC 8457,Proteobacteria,,08-05-07,no,,,4058
Vibrio cholerae O1 biovar eltor str. N16961,Proteobacteria,yes,25-11-09,yes,2,0,4007
